data_time,name,addr,lng,lat,wkb_geometry,district,phone
2024-02-06 18:31:59+08:00,仁杏藥局,臺北市中正區汀州路一段３８４號,121.5135504,25.02623632,POINT (121.5135504 25.02623632),中正區,0223013621
2024-02-06 18:31:59+08:00,永興藥局,臺北市中正區汀州路一段９２巷２８號,121.5067622,25.02999357,POINT (121.5067622 25.02999357),中正區,0223050986
2024-02-06 18:31:59+08:00,華大藥局,臺北市中正區金門街８號,121.5243315,25.02275147,POINT (121.5243315 25.02275147),中正區,0223682425
2024-02-06 18:31:59+08:00,怡誠藥局,臺北市中正區汀州路二段二一二號,121.5237191,25.02236086,POINT (121.5237191 25.02236086),中正區,23625100
2024-02-06 18:31:59+08:00,日生大藥局,臺北市中正區汀州路一段５３號１樓,121.5076476,25.03025745,POINT (121.5076476 25.03025745),中正區,0223031393
2024-02-06 18:31:59+08:00,三元藥局,臺北市中正區三元街１５８號,121.5108721,25.02800107,POINT (121.5108721 25.02800107),中正區,0223052839
2024-02-06 18:31:59+08:00,大安藥局,臺北市中正區新生南路1段56巷2號(1樓),121.5325687,25.0411374,POINT (121.5325687 25.0411374),中正區,0223213186
2024-02-06 18:31:59+08:00,上海聯合藥局,臺北市中正區衡陽路３２號１樓,121.5126292,25.04220631,POINT (121.5126292 25.04220631),中正區,0223714797
2024-02-06 18:31:59+08:00,中心藥局,臺北市中正區汀州路三段１２１號,121.5302985,25.01654511,POINT (121.5302985 25.01654511),中正區,0223689889
2024-02-06 18:31:59+08:00,楊藥局,臺北市中正區臨沂街２９巷１８號,121.530796,25.03984849,POINT (121.530796 25.03984849),中正區,0223414449
2024-02-06 18:31:59+08:00,和康大藥局,臺北市中正區忠孝東路一段７８號１樓,121.5239625,25.04446127,POINT (121.5239625 25.04446127),中正區,223958181
2024-02-06 18:31:59+08:00,古亭藥局,臺北市中正區汀州路三段１１７號,121.5301226,25.01666815,POINT (121.5301226 25.01666815),中正區,-
2024-02-06 18:31:59+08:00,新獻安藥局,臺北市中正區羅斯福路一段１５號,121.5182188,25.03316149,POINT (121.5182188 25.03316149),中正區,0223519891
2024-02-06 18:31:59+08:00,國杏藥師示範藥局,臺北市中正區延平南路１７１巷３號,121.5078466,25.0348694,POINT (121.5078466 25.0348694),中正區,0223811322
2024-02-06 18:31:59+08:00,東華藥局,臺北市中正區汀州路三段一一三號,121.5300303,25.01673271,POINT (121.5300303 25.01673271),中正區,0223640852、0223640852、0223640582
2024-02-06 18:31:59+08:00,連雲藥局,臺北市中正區連雲街79號,121.5301606,25.03436039,POINT (121.5301606 25.03436039),中正區,223410504
2024-02-06 18:31:59+08:00,合泰大藥局,臺北市中正區衡陽路26號,121.512863,25.04220736,POINT (121.512863 25.04220736),中正區,0223899977
2024-02-06 18:31:59+08:00,吉星藥局,臺北市中正區襄陽路１９號１樓,121.5153922,25.04349251,POINT (121.5153922 25.04349251),中正區,23117779
2024-02-06 18:31:59+08:00,全民藥局,臺北市中正區廈門街八十七號,121.5174974,25.02441116,POINT (121.5174974 25.02441116),中正區,0223695759
2024-02-06 18:31:59+08:00,和平藥局,臺北市中正區中華路二段四十三號,121.5063729,25.03508199,POINT (121.5063729 25.03508199),中正區,23755303
2024-02-06 18:31:59+08:00,丞良藥局,臺北市中正區南昌路一段７８號地下一樓,121.517267,25.030983,POINT (121.517267 25.030983),中正區,33938868
2024-02-06 18:31:59+08:00,慶安藥局,臺北市中正區徐州路26號,121.5234096,25.04061204,POINT (121.5234096 25.04061204),中正區,223582385
2024-02-06 18:31:59+08:00,達昌藥局,臺北市中正區汀州路一段207號,121.5116217,25.0269163,POINT (121.5116217 25.0269163),中正區,23390109
2024-02-06 18:31:59+08:00,大愛生活藥局,臺北市中正區汀州路二段232號,121.5242627,25.02189463,POINT (121.5242627 25.02189463),中正區,223661155
2024-02-06 18:31:59+08:00,台醫藥局,臺北市中正區公園路30巷4號,121.5165555,25.04416104,POINT (121.5165555 25.04416104),中正區,23141202
2024-02-06 18:31:59+08:00,佑康大藥局,臺北市中正區汀州路2段115號1樓,121.5189322,25.02520581,POINT (121.5189322 25.02520581),中正區,23683602
2024-02-06 18:31:59+08:00,佳和藥局,臺北市中正區黎明里公園路30號,121.5168566,25.0444824,POINT (121.5168566 25.0444824),中正區,-
2024-02-06 18:31:59+08:00,正康藥局,臺北市中正區漢口街1段22號,121.5142319,25.04507378,POINT (121.5142319 25.04507378),中正區,23712831
2024-02-06 18:31:59+08:00,進達健保藥局,臺北市中正區中華路二段453號,121.5096102,25.02490113,POINT (121.5096102 25.02490113),中正區,23039829
2024-02-06 18:31:59+08:00,活力健康藥妝藥局,臺北市中正區中華路二段315巷1號,121.5061962,25.02794934,POINT (121.5061962 25.02794934),中正區,0982757037、23392625
2024-02-06 18:31:59+08:00,信康藥局,臺北市中正區南昌路一段143號,121.5185922,25.0295324,POINT (121.5185922 25.0295324),中正區,23961979
2024-02-06 18:31:59+08:00,保德中華藥局,臺北市中正區中華路二段159號,121.5042504,25.03101283,POINT (121.5042504 25.03101283),中正區,223027720
2024-02-06 18:31:59+08:00,71恩典藥局,臺北市中正區信義路二段71號,121.5263958,25.034666,POINT (121.5263958 25.034666),中正區,23223371
2024-02-06 18:31:59+08:00,豐仁藥局,臺北市中正區寧波西街161號,121.5109466,25.02735594,POINT (121.5109466 25.02735594),中正區,223033908
2024-02-06 18:31:59+08:00,立赫健保藥局,臺北市中正區新生南路一段16之2號,121.5326126,25.04322641,POINT (121.5326126 25.04322641),中正區,233223231
2024-02-06 18:31:59+08:00,宏越藥局,臺北市中正區中華路2段319號1樓,121.506273,25.02782978,POINT (121.506273 25.02782978),中正區,23050880
2024-02-06 18:31:59+08:00,大盛藥局,臺北市中正區中華路一段21巷16號,121.5105356,25.04645058,POINT (121.5105356 25.04645058),中正區,0223316807
